tab	rmag_results
er_specimen_names	er_sample_name	er_site_name	anisotropy_type	magic_method_codes	magic_experiment_names	result_description	anisotropy_t1	anisotropy_t2	anisotropy_t3	anisotropy_ftest	anisotropy_ftest12	anisotropy_ftest23	anisotropy_v1_dec	anisotropy_v1_inc	anisotropy_v2_dec	anisotropy_v2_inc	anisotropy_v3_dec	anisotropy_v3_inc
su110402b	su110402	su1l300	ATRM	LP-AN-TRM:AE-H	su110402b:ATRM	Critical F: 3.1059	0.387026	0.364480	0.248494	48.676518	2.798759	74.072180	198.8	46.1	324.3	29.2	72.7	29.5
su111601g	su111601	su1l404	ATRM	LP-AN-TRM:AE-H	su111601g:ATRM	Critical F: 3.1059	0.376944	0.347164	0.275892	6.740365	1.385601	7.936409	271.4	22.7	12.9	25.5	145.3	54.7
su105301a	su105301	su1l501	ATRM	LP-AN-TRM:AE-H	su105301a:ATRM	Critical F: 3.1059	0.356960	0.345965	0.297074	12.615976	0.937895	18.545551	356.9	-45.3	173.8	-44.7	265.3	-1.5
su105301a	su105301	su1l501	AARM	LP-AN-ARM:AE-H	su105301a:AARM	Critical F: 2.6848	0.343997	0.329519	0.326485	0.324017	0.484729	0.021289	342.0	-8.5	260.4	44.5	243.5	-44.2
su107201d	su107201	su1l102	ATRM	LP-AN-TRM:AE-H	su107201d:ATRM	Critical F: 3.1059	0.404927	0.341246	0.253828	42.844481	18.870239	35.559267	349.7	52.7	223.1	24.4	300.1	-26.3
su107201e	su107201	su1l102	ATRM	LP-AN-TRM:AE-H	su107201e:ATRM	Critical F: 3.1059	0.392622	0.365588	0.241790	45.773828	3.232803	67.788881	343.1	-11.4	243.9	-38.7	266.5	49.1
su107201e	su107201	su1l102	AARM	LP-AN-ARM:AE-H	su107201e:AARM	Critical F: 2.6848	0.371761	0.338814	0.289425	4.462791	1.763140	3.961715	346.9	-5.4	254.1	-27.0	267.3	62.3
su107201b	su107201	su1l102	ATRM	LP-AN-TRM:AE-H	su107201b:ATRM	Critical F: 3.1059	0.377887	0.340514	0.281599	12.019762	4.452902	11.065133	296.7	43.1	219.6	-13.4	322.8	-43.8
su107201a	su107201	su1l102	ATRM	LP-AN-TRM:AE-H	su107201a:ATRM	Critical F: 3.1059	0.428056	0.323053	0.248892	122.123055	103.841499	51.798286	43.2	-80.6	88.4	6.6	177.7	-6.6
su100901d	su100901	su1l005	ATRM	LP-AN-TRM:AE-H	su100901d:ATRM	Critical F: 3.1059	0.381600	0.329966	0.288434	5.720084	4.375315	2.830626	76.2	45.4	260.4	44.5	168.3	2.1
su100901e	su100901	su1l005	ATRM	LP-AN-TRM:AE-H	su100901e:ATRM	Critical F: 3.1059	0.444801	0.424027	0.131173	200.172326	1.755279	348.823509	100.1	74.0	131.6	-13.8	219.6	8.0
su100901f	su100901	su1l005	ATRM	LP-AN-TRM:AE-H	su100901f:ATRM	Critical F: 3.1059	0.352335	0.333322	0.314343	3.494071	2.187729	2.179862	297.4	-43.6	200.5	-7.2	283.1	45.5
su100901g	su100901	su1l005	ATRM	LP-AN-TRM:AE-H	su100901g:ATRM	Critical F: 3.1059	0.362578	0.347919	0.289504	10.592423	0.951932	15.115695	23.0	13.5	238.0	73.7	115.2	9.0
