tab 	er_samples
er_citation_names	er_location_name	er_sample_name	er_site_name	magic_method_codes	sample_class	sample_core_depth	sample_lat	sample_lithology	sample_lon	sample_type
This study	DSDP Site 522	16-1-104	16-1-104	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.54	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-108	16-1-108	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.57	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-110	16-1-110	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.6	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-115	16-1-115	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.64	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-119	16-1-119	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.68	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-122	16-1-122	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.72	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-125	16-1-125	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.74	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-128	16-1-128	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.77	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-131	16-1-131	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.8	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-134	16-1-134	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.83	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-137	16-1-137	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.87	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-140	16-1-140	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.89	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-142	16-1-142	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.92	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-145	16-1-145	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.94	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-1-148	16-1-148	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	60.98	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-001	16-2-001	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.01	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-005	16-2-005	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.05	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-008	16-2-008	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.08	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-012	16-2-012	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.12	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-015	16-2-015	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.15	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-018	16-2-018	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.17	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-021	16-2-021	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.2	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-024	16-2-024	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.23	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-029	16-2-029	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.28	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-032	16-2-032	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.31	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-034	16-2-034	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.34	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-038	16-2-038	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.38	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-041	16-2-041	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.4	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-050	16-2-050	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.49	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-053	16-2-053	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.52	-27	Not Specified	355	Sediment Layer
This study	DSDP Site 522	16-2-056	16-2-056	FS-C-DRILL-IODP:SP-SS-C:SO-V	Sedimentary	61.55	-27	Not Specified	355	Sediment Layer
